iter	Passed	Remaining
425	1707	2300
426	1709	2294
427	1712	2288
428	1714	2282
429	1716	2275
430	1721	2272
431	1723	2266
432	1725	2259
433	1728	2253
434	1730	2247
435	1733	2242
436	1736	2237
437	1739	2231
438	1742	2226
439	1744	2220
440	1749	2217
441	1752	2212
442	1757	2210
443	1760	2204
444	1765	2201
445	1768	2196
446	1771	2190
447	1773	2185
448	1776	2179
449	1781	2177
450	1784	2171
451	1787	2166
452	1789	2161
453	1792	2155
454	1801	2158
455	1805	2153
456	1809	2149
457	1816	2149
458	1818	2143
459	1822	2139
460	1827	2136
461	1831	2132
462	1834	2127
463	1836	2121
464	1839	2116
465	1843	2112
466	1848	2109
467	1851	2104
468	1854	2099
469	1861	2099
470	1864	2093
471	1866	2087
472	1877	2091
473	1880	2086
474	1882	2081
475	1885	2076
476	1891	2073
477	1893	2068
478	1896	2062
479	1898	2057
480	1907	2058
481	1911	2053
482	1914	2048
483	1917	2044
484	1923	2042
485	1925	2036
486	1933	2036
487	1939	2034
488	1942	2029
489	1944	2024
490	1948	2019
491	1953	2016
492	1957	2013
493	1960	2008
494	1965	2004
495	1969	2001
496	1971	1995
497	1975	1991
498	1979	1987
499	1982	1982
500	1985	1977
501	1987	1971
502	1989	1966
503	1995	1963
504	1997	1957
505	1999	1952
506	2001	1946
507	2003	1940
508	2006	1935
509	2011	1932
510	2013	1927
511	2016	1921
512	2019	1916
513	2025	1915
514	2029	1911
515	2031	1905
516	2034	1900
517	2036	1894
518	2041	1891
519	2043	1886
520	2045	1880
521	2047	1875
522	2050	1869
523	2052	1864
524	2057	1861
525	2059	1855
526	2061	1850
527	2063	1844
528	2065	1839
529	2068	1834
530	2071	1830
531	2074	1825
532	2077	1820
533	2079	1814
534	2083	1810
535	2087	1806
536	2089	1801
537	2091	1795
538	2093	1790
539	2095	1784
540	2097	1779
541	2101	1776
542	2104	1771
543	2106	1766
544	2109	1760
545	2111	1756
546	2114	1751
547	2117	1746
548	2119	1741
549	2122	1736
550	2123	1730
551	2125	1725
552	2128	1720
553	2132	1716
554	2134	1711
555	2137	1706
556	2139	1701
557	2142	1697
558	2147	1693
559	2149	1689
560	2152	1684
561	2154	1679
562	2157	1674
563	2162	1671
564	2165	1667
565	2167	1662
566	2170	1657
567	2173	1652
568	2178	1650
569	2181	1645
570	2183	1640
571	2186	1636
572	2189	1631
573	2194	1628
574	2197	1623
575	2199	1619
576	2202	1614
577	2204	1609
578	2209	1606
579	2212	1601
580	2214	1597
581	2218	1593
582	2222	1589
583	2225	1585
584	2228	1581
585	2231	1576
586	2234	1572
587	2240	1569
588	2242	1565
589	2245	1560
590	2248	1556
591	2251	1551
592	2254	1547
593	2256	1542
594	2259	1537
595	2262	1533
596	2268	1531
597	2270	1526
598	2273	1522
599	2276	1517
600	2282	1515
601	2285	1510
602	2288	1506
603	2290	1501
604	2293	1497
605	2298	1494
606	2301	1490
607	2304	1485
608	2307	1481
609	2311	1477
610	2314	1473
611	2317	1469
612	2320	1465
613	2323	1460
614	2326	1456
615	2329	1452
616	2332	1447
617	2338	1445
618	2341	1441
619	2344	1436
620	2346	1432
621	2349	1427
622	2354	1424
623	2357	1420
624	2360	1416
625	2362	1411
626	2365	1407
627	2369	1403
628	2372	1399
629	2374	1394
630	2377	1390
631	2379	1385
632	2384	1382
633	2386	1377
634	2388	1373
635	2390	1368
636	2393	1363
637	2395	1359
638	2400	1356
639	2403	1351
640	2405	1347
641	2407	1342
642	2410	1338
643	2415	1335
644	2418	1331
645	2421	1326
646	2423	1322
647	2426	1317
648	2430	1314
649	2432	1310
650	2435	1305
651	2438	1301
652	2441	1297
653	2444	1293
654	2448	1289
655	2451	1285
656	2454	1281
657	2459	1278
658	2463	1274
659	2465	1270
660	2468	1266
661	2475	1263
662	2478	1259
663	2481	1255
664	2483	1251
665	2492	1250
666	2495	1245
667	2498	1241
668	2501	1237
669	2513	1237
670	2515	1233
671	2524	1232
672	2528	1228
673	2537	1227
674	2541	1223
675	2545	1219
676	2548	1215
677	2554	1213
678	2557	1208
679	2559	1204
680	2565	1201
681	2570	1198
682	2573	1194
683	2579	1191
684	2583	1188
685	2586	1183
686	2589	1179
687	2597	1178
688	2600	1173
689	2603	1169
690	2609	1166
691	2614	1163
692	2617	1159
693	2620	1155
694	2626	1152
695	2629	1148
696	2632	1144
697	2636	1140
698	2640	1136
699	2643	1132
700	2646	1128
701	2656	1127
702	2660	1124
703	2663	1119
704	2670	1117
705	2673	1113
706	2675	1109
